,CH1,CH2,CH3
Second,Volt,Volt,Volt
5.12000e-04,8.80e-01,-2.60e-01,1.86e-01, 
5.16000e-04,8.40e-01,-3.00e-01,1.92e-01, 
5.20000e-04,9.00e-01,-3.00e-01,1.91e-01, 
5.24000e-04,8.60e-01,-3.20e-01,1.96e-01, 
5.28000e-04,8.60e-01,-3.40e-01,1.94e-01, 
5.32000e-04,9.20e-01,-3.00e-01,1.96e-01, 
5.36000e-04,8.80e-01,-3.60e-01,1.96e-01, 
5.40000e-04,9.20e-01,-3.20e-01,1.89e-01, 
5.44000e-04,9.00e-01,-3.20e-01,1.90e-01, 
5.48000e-04,9.40e-01,-3.60e-01,1.84e-01, 
5.52000e-04,9.00e-01,-3.40e-01,1.82e-01, 
5.56000e-04,9.60e-01,-3.80e-01,1.78e-01, 
5.60000e-04,9.20e-01,-3.40e-01,1.78e-01, 
5.64000e-04,9.60e-01,-4.00e-01,1.70e-01, 
5.68000e-04,9.80e-01,-3.80e-01,1.71e-01, 
5.72000e-04,9.40e-01,-3.40e-01,1.66e-01, 
5.76000e-04,9.80e-01,-3.60e-01,1.72e-01, 
5.80000e-04,9.40e-01,-4.00e-01,1.69e-01, 
5.84000e-04,9.80e-01,-3.80e-01,1.70e-01, 
5.88000e-04,9.60e-01,-4.20e-01,1.76e-01, 
5.92000e-04,9.80e-01,-4.20e-01,1.78e-01, 
5.96000e-04,1.02e+00,-3.80e-01,1.84e-01, 
6.00000e-04,1.02e+00,-4.40e-01,1.85e-01, 
6.04000e-04,9.80e-01,-4.00e-01,1.91e-01, 
6.08000e-04,9.80e-01,-4.20e-01,1.91e-01, 
6.12000e-04,1.04e+00,-4.60e-01,1.95e-01, 
6.16000e-04,1.00e+00,-4.40e-01,1.96e-01, 
6.20000e-04,1.06e+00,-4.80e-01,1.92e-01, 
6.24000e-04,1.02e+00,-4.40e-01,1.95e-01, 
6.28000e-04,1.06e+00,-4.80e-01,1.93e-01, 
6.32000e-04,1.06e+00,-4.80e-01,1.94e-01, 
6.36000e-04,1.04e+00,-4.40e-01,1.90e-01, 
6.40000e-04,1.06e+00,-4.80e-01,1.86e-01, 
6.44000e-04,1.08e+00,-5.00e-01,1.82e-01, 
6.48000e-04,1.06e+00,-4.80e-01,1.84e-01, 
6.52000e-04,1.08e+00,-5.20e-01,1.77e-01, 
6.56000e-04,1.06e+00,-5.20e-01,1.77e-01, 
6.60000e-04,1.10e+00,-4.80e-01,1.71e-01, 
6.64000e-04,1.06e+00,-5.00e-01,1.72e-01, 
6.68000e-04,1.12e+00,-5.40e-01,1.69e-01, 
6.72000e-04,1.08e+00,-5.20e-01,1.69e-01, 
6.76000e-04,1.14e+00,-5.60e-01,1.72e-01, 
6.80000e-04,1.14e+00,-5.40e-01,1.69e-01, 
6.84000e-04,1.10e+00,-5.20e-01,1.74e-01, 
6.88000e-04,1.12e+00,-5.40e-01,1.72e-01, 
6.92000e-04,1.14e+00,-5.60e-01,1.76e-01, 
6.96000e-04,1.14e+00,-5.40e-01,1.75e-01, 
7.00000e-04,1.14e+00,-6.00e-01,1.82e-01, 
7.04000e-04,1.14e+00,-5.40e-01,1.82e-01, 
7.08000e-04,1.18e+00,-6.00e-01,1.87e-01, 
7.12000e-04,1.14e+00,-5.60e-01,1.87e-01, 
7.16000e-04,1.20e+00,-6.20e-01,1.92e-01, 
7.20000e-04,1.16e+00,-6.20e-01,1.91e-01, 
7.24000e-04,1.20e+00,-5.80e-01,1.95e-01, 
7.28000e-04,1.20e+00,-6.20e-01,1.94e-01, 
7.32000e-04,1.16e+00,-5.80e-01,1.96e-01, 
7.36000e-04,1.18e+00,-6.00e-01,1.93e-01, 
7.40000e-04,1.20e+00,-6.40e-01,1.95e-01, 
7.44000e-04,1.20e+00,-6.20e-01,1.91e-01, 
7.48000e-04,1.22e+00,-6.40e-01,1.96e-01, 
7.52000e-04,1.20e+00,-6.80e-01,1.94e-01, 
7.56000e-04,1.24e+00,-6.20e-01,1.91e-01, 
7.60000e-04,1.20e+00,-6.20e-01,1.91e-01, 
7.64000e-04,1.28e+00,-6.80e-01,1.87e-01, 
7.68000e-04,1.24e+00,-6.80e-01,1.85e-01, 
7.72000e-04,1.28e+00,-6.60e-01,1.82e-01, 
7.76000e-04,1.28e+00,-6.80e-01,1.82e-01, 
7.80000e-04,1.22e+00,-7.20e-01,1.78e-01, 
7.84000e-04,1.26e+00,-6.80e-01,1.80e-01, 
7.88000e-04,1.20e+00,-7.00e-01,1.76e-01, 
7.92000e-04,1.24e+00,-6.80e-01,1.77e-01, 
7.96000e-04,1.20e+00,-7.20e-01,1.72e-01, 
8.00000e-04,1.20e+00,-7.20e-01,1.73e-01, 
8.04000e-04,1.26e+00,-6.80e-01,1.71e-01, 
8.08000e-04,1.24e+00,-7.20e-01,1.73e-01, 
8.12000e-04,1.20e+00,-6.80e-01,1.69e-01, 
8.16000e-04,1.20e+00,-7.00e-01,1.72e-01, 
8.20000e-04,1.18e+00,-7.40e-01,1.69e-01, 
8.24000e-04,1.20e+00,-7.60e-01,1.68e-01, 
8.28000e-04,1.16e+00,-6.80e-01,1.72e-01, 
8.32000e-04,1.16e+00,-7.40e-01,1.71e-01, 
8.36000e-04,1.20e+00,-7.00e-01,1.69e-01, 
8.40000e-04,1.18e+00,-7.40e-01,1.70e-01, 
8.44000e-04,1.14e+00,-7.00e-01,1.74e-01, 
8.48000e-04,1.14e+00,-6.80e-01,1.72e-01, 
8.52000e-04,1.16e+00,-7.40e-01,1.78e-01, 
8.56000e-04,1.14e+00,-7.20e-01,1.74e-01, 
8.60000e-04,1.12e+00,-7.00e-01,1.78e-01, 
8.64000e-04,1.14e+00,-7.60e-01,1.78e-01, 
8.68000e-04,1.10e+00,-7.00e-01,1.81e-01, 
8.72000e-04,1.14e+00,-7.40e-01,1.80e-01, 
8.76000e-04,1.08e+00,-7.00e-01,1.83e-01, 
8.80000e-04,1.12e+00,-7.00e-01,1.82e-01, 
8.84000e-04,1.08e+00,-7.20e-01,1.86e-01, 
8.88000e-04,1.10e+00,-7.20e-01,1.84e-01, 
8.92000e-04,1.06e+00,-6.80e-01,1.86e-01, 
8.96000e-04,1.08e+00,-6.80e-01,1.86e-01, 
9.00000e-04,1.06e+00,-7.20e-01,1.88e-01, 
9.04000e-04,1.08e+00,-6.80e-01,1.89e-01, 
9.08000e-04,1.02e+00,-7.00e-01,1.86e-01, 
9.12000e-04,1.06e+00,-6.80e-01,1.87e-01, 
9.16000e-04,1.04e+00,-7.00e-01,1.91e-01, 
9.20000e-04,1.06e+00,-7.00e-01,1.88e-01, 
9.24000e-04,1.02e+00,-6.60e-01,1.92e-01, 
9.28000e-04,1.06e+00,-6.80e-01,1.91e-01, 
9.32000e-04,1.00e+00,-6.40e-01,1.88e-01, 
9.36000e-04,1.04e+00,-6.80e-01,1.89e-01, 
9.40000e-04,1.02e+00,-6.40e-01,1.93e-01, 
9.44000e-04,1.04e+00,-6.80e-01,1.88e-01, 
9.48000e-04,9.80e-01,-6.60e-01,1.92e-01, 
9.52000e-04,1.00e+00,-6.80e-01,1.92e-01, 
9.56000e-04,9.80e-01,-6.40e-01,1.89e-01, 
9.60000e-04,9.80e-01,-6.80e-01,1.91e-01, 
9.64000e-04,9.40e-01,-6.20e-01,1.88e-01, 
9.68000e-04,9.80e-01,-6.20e-01,1.88e-01, 
9.72000e-04,9.60e-01,-6.60e-01,1.90e-01, 
9.76000e-04,9.80e-01,-6.40e-01,1.91e-01, 
9.80000e-04,9.40e-01,-6.20e-01,1.88e-01, 
9.84000e-04,9.60e-01,-6.40e-01,1.86e-01, 
9.88000e-04,9.20e-01,-6.00e-01,1.89e-01, 
9.92000e-04,9.20e-01,-6.20e-01,1.88e-01, 
9.96000e-04,9.40e-01,-6.00e-01,1.84e-01, 
1.00000e-03,9.00e-01,-6.20e-01,1.86e-01, 
1.00400e-03,9.40e-01,-5.80e-01,1.82e-01, 
1.00800e-03,9.20e-01,-5.60e-01,1.84e-01, 
1.01200e-03,9.00e-01,-6.00e-01,1.80e-01, 
1.01600e-03,9.20e-01,-6.00e-01,1.82e-01, 
1.02000e-03,9.00e-01,-5.60e-01,1.77e-01, 
1.02400e-03,8.80e-01,-5.40e-01,1.78e-01, 
1.02800e-03,9.20e-01,-5.80e-01,1.75e-01, 
1.03200e-03,9.00e-01,-5.80e-01,1.75e-01, 
1.03600e-03,8.60e-01,-5.40e-01,1.72e-01, 
1.04000e-03,8.40e-01,-5.80e-01,1.72e-01, 
1.04400e-03,8.80e-01,-5.40e-01,1.69e-01, 
1.04800e-03,8.80e-01,-5.60e-01,1.69e-01, 
1.05200e-03,8.20e-01,-5.20e-01,1.71e-01, 
1.05600e-03,8.40e-01,-5.40e-01,1.71e-01, 
1.06000e-03,8.40e-01,-4.80e-01,1.68e-01, 
1.06400e-03,8.40e-01,-5.20e-01,1.70e-01, 
1.06800e-03,8.00e-01,-4.80e-01,1.74e-01, 
1.07200e-03,8.40e-01,-4.80e-01,1.72e-01, 
1.07600e-03,8.00e-01,-5.40e-01,1.76e-01, 
1.08000e-03,8.00e-01,-4.80e-01,1.77e-01, 
1.08400e-03,7.80e-01,-5.00e-01,1.80e-01, 
1.08800e-03,8.20e-01,-4.80e-01,1.80e-01, 
1.09200e-03,7.80e-01,-5.00e-01,1.85e-01, 
1.09600e-03,8.00e-01,-4.80e-01,1.86e-01, 
1.10000e-03,7.80e-01,-4.60e-01,1.92e-01, 
1.10400e-03,7.80e-01,-4.80e-01,1.91e-01, 
1.10800e-03,7.60e-01,-4.40e-01,1.95e-01, 
1.11200e-03,7.40e-01,-4.80e-01,1.93e-01, 
1.11600e-03,7.80e-01,-4.20e-01,1.96e-01, 
1.12000e-03,7.60e-01,-4.60e-01,1.96e-01, 
1.12400e-03,7.20e-01,-4.20e-01,1.92e-01, 
1.12800e-03,7.60e-01,-4.60e-01,1.93e-01, 
1.13200e-03,7.00e-01,-4.00e-01,1.88e-01, 
1.13600e-03,7.40e-01,-4.20e-01,1.88e-01, 
1.14000e-03,7.00e-01,-4.00e-01,1.81e-01, 
1.14400e-03,7.40e-01,-4.20e-01,1.82e-01, 
1.14800e-03,7.00e-01,-4.00e-01,1.74e-01, 
1.15200e-03,7.00e-01,-4.00e-01,1.74e-01, 
1.15600e-03,7.00e-01,-3.60e-01,1.71e-01, 
1.16000e-03,7.00e-01,-4.00e-01,1.69e-01, 
1.16400e-03,6.60e-01,-3.60e-01,1.72e-01, 
1.16800e-03,6.40e-01,-4.00e-01,1.71e-01, 
1.17200e-03,7.00e-01,-3.60e-01,1.73e-01, 
1.17600e-03,6.80e-01,-3.80e-01,1.75e-01, 
1.18000e-03,6.60e-01,-3.40e-01,1.81e-01, 
1.18400e-03,6.80e-01,-3.40e-01,1.81e-01, 
1.18800e-03,6.20e-01,-3.60e-01,1.88e-01, 
1.19200e-03,6.80e-01,-3.20e-01,1.88e-01, 
1.19600e-03,6.40e-01,-3.40e-01,1.95e-01, 
